INFO:root:Network range to defend: 192.168.0.0/24
INFO:root:Sending ARPs to network range 192.168.0.0/24
INFO:root:Gateway IP: 192.168.0.1
INFO:root:Interface: enp5s0
INFO:root:Network range to defend: 192.168.0.0/24
INFO:root:Sending ARPs to network range 192.168.0.0/24
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.81
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.82
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.83
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.84
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.85
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.86
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.87
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.88
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.89
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.90
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.91
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.92
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.93
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.94
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.95
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.96
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.97
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.98
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.99
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.100
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.101
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.102
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.103
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.104
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.105
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.106
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.107
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.108
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.109
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.110
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.111
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.112
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.113
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.114
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.115
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.116
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.117
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.118
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.119
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.120
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.121
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.122
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.123
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.124
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.125
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.126
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.127
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.128
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.129
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.130
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.131
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.132
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.133
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.134
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.135
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.136
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.137
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.138
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.139
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.140
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.141
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.142
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.143
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.144
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.145
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.146
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.147
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.148
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.149
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.150
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.151
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.152
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.153
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.154
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.155
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.156
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.157
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.158
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.159
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.160
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.161
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.162
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.163
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.164
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.165
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.166
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.167
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.168
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.169
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.170
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.171
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.172
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.173
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.174
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.175
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.176
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.177
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.178
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.179
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.180
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.181
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.182
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.183
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.184
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.185
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.186
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.187
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.188
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.189
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.190
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.191
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.192
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.193
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.194
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.195
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.196
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.197
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.198
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.199
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.200
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.201
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.202
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.203
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.204
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.205
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.206
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.207
